movie_id,title,genres,movie_idx
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0
2,Jumanji (1995),Adventure|Children|Fantasy,481
3,Grumpier Old Men (1995),Comedy|Romance,1
4,Waiting to Exhale (1995),Comedy|Drama|Romance,482
5,Father of the Bride Part II (1995),Comedy,483
6,Heat (1995),Action|Crime|Thriller,2
7,Sabrina (1995),Comedy|Romance,484
8,Tom and Huck (1995),Adventure|Children,485
9,Sudden Death (1995),Action,5017
10,GoldenEye (1995),Action|Adventure|Thriller,486
11,"American President, The (1995)",Comedy|Drama|Romance,487
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1399
13,Balto (1995),Adventure|Animation|Children,488
14,Nixon (1995),Drama,3678
15,Cutthroat Island (1995),Action|Adventure|Romance,489
16,Casino (1995),Crime|Drama,490
17,Sense and Sensibility (1995),Drama|Romance,491
18,Four Rooms (1995),Comedy,2657
19,Ace Ventura: When Nature Calls (1995),Comedy,492
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,3604
21,Get Shorty (1995),Comedy|Crime|Thriller,291
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,493
23,Assassins (1995),Action|Crime|Thriller,2163
24,Powder (1995),Drama|Sci-Fi,494
25,Leaving Las Vegas (1995),Drama|Romance,495
26,Othello (1995),Drama,496
27,Now and Then (1995),Children|Drama,497
28,Persuasion (1995),Drama|Romance,2430
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,2068
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,6914
31,Dangerous Minds (1995),Drama,259
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,292
34,Babe (1995),Children|Drama,460
36,Dead Man Walking (1995),Crime|Drama,461
38,It Takes Two (1995),Children|Comedy,1859
39,Clueless (1995),Comedy|Romance,462
40,"Cry, the Beloved Country (1995)",Drama,6704
41,Richard III (1995),Drama|War,498
42,Dead Presidents (1995),Action|Crime|Drama,5992
43,Restoration (1995),Drama,499
44,Mortal Kombat (1995),Action|Adventure|Fantasy,971
45,To Die For (1995),Comedy|Drama|Thriller,293
46,How to Make an American Quilt (1995),Drama|Romance,500
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1400
49,When Night Is Falling (1995),Drama|Romance,5596
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,294
53,Lamerica (1994),Adventure|Drama,3711
54,"Big Green, The (1995)",Children|Comedy,501
55,Georgia (1995),Drama,3679
57,Home for the Holidays (1995),Drama,2651
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,295
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,502
61,Eye for an Eye (1996),Drama|Thriller,503
62,Mr. Holland's Opus (1995),Drama,504
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,5832
64,Two if by Sea (1996),Comedy|Romance,1401
65,Bio-Dome (1996),Comedy,505
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,506
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4035
69,Friday (1995),Comedy,2663
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,5
71,Fair Game (1995),Action,4663
72,Kicking and Screaming (1995),Comedy|Drama,5550
73,"Misérables, Les (1995)",Drama|War,4698
74,Bed of Roses (1996),Drama|Romance,2420
75,Big Bully (1996),Comedy|Drama,5018
76,Screamers (1995),Action|Sci-Fi|Thriller,507
77,Nico Icon (1995),Documentary,9348
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,2421
79,"Juror, The (1996)",Drama|Thriller,508
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,6915
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,4036
82,Antonia's Line (Antonia) (1995),Comedy|Drama,2503
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,5687
85,Angels and Insects (1995),Drama|Romance,4037
86,White Squall (1996),Action|Adventure|Drama,509
87,Dunston Checks In (1996),Children|Comedy,510
88,Black Sheep (1996),Comedy,511
89,Nick of Time (1995),Action|Thriller,512
92,Mary Reilly (1996),Drama|Horror|Thriller,513
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,514
94,Beautiful Girls (1996),Comedy|Drama|Romance,2431
95,Broken Arrow (1996),Action|Adventure|Thriller,515
96,In the Bleak Midwinter (1995),Comedy|Drama,8152
97,"Hate (Haine, La) (1995)",Crime|Drama,5289
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,5551
100,City Hall (1996),Drama|Thriller,516
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,6
102,Mr. Wrong (1996),Comedy,517
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,8579
104,Happy Gilmore (1996),Comedy,518
105,"Bridges of Madison County, The (1995)",Drama|Romance,519
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,296
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1402
108,Catwalk (1996),Documentary,9349
110,Braveheart (1995),Action|Drama|War,7
111,Taxi Driver (1976),Crime|Drama|Thriller,1093
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,520
113,Before and After (1996),Drama|Mystery,521
116,Anne Frank Remembered (1995),Documentary,4038
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,9411
118,If Lucy Fell (1996),Comedy|Romance,1403
119,"Steal Big, Steal Little (1995)",Comedy,7421
121,"Boys of St. Vincent, The (1992)",Drama,2504
122,Boomerang (1992),Comedy|Romance,2543
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,6019
125,Flirting With Disaster (1996),Comedy,297
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,298
128,Jupiter's Wife (1994),Documentary,6144
129,Pie in the Sky (1996),Comedy|Romance,6446
132,Jade (1995),Thriller,4875
135,Down Periscope (1996),Comedy,522
137,Man of the Year (1995),Documentary,9561
140,Up Close and Personal (1996),Drama|Romance,523
141,"Birdcage, The (1996)",Comedy,524
144,"Brothers McMullen, The (1995)",Comedy,2544
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,525
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,526
147,"Basketball Diaries, The (1995)",Drama,2164
148,"Awfully Big Adventure, An (1995)",Drama,5552
149,Amateur (1994),Crime|Drama|Thriller,9350
150,Apollo 13 (1995),Adventure|Drama|IMAX,463
151,Rob Roy (1995),Action|Drama|Romance|War,8
152,"Addiction, The (1995)",Drama|Horror,7125
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,464
154,Beauty of the Day (Belle de jour) (1967),Drama,3680
155,Beyond Rangoon (1995),Adventure|Drama|War,5553
156,Blue in the Face (1995),Comedy|Drama,4463
157,Canadian Bacon (1995),Comedy|War,9
